Gender,YOB,Status,Type,Brand,Model,OS,Vendor,Week,Revenue
MALE,1988,ACTIVE,Prepaid,SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google,34,2.16
MALE,1964,ACTIVE,Prepaid,SAMSUNG,GALAXY J5 DUOS (SM-J500F DS),Android,Google,34,2.31
FEMALE,1972,ACTIVE,Prepaid,SAMSUNG,GALAXY J1 ACE (SM-J106B DL),Android,Google,34,2.38
MALE,1983,ACTIVE,Prepaid,LG,G3 LTE-A (D855),Android,Google,34,3.12
MALE,1990,ACTIVE,Prepaid,SYMPHONY,"KT10, T35, FT04, FT32, D31",Proprietary OS,Proprietary OS,34,3.17
FEMALE,1985,ACTIVE,Prepaid,HUAWEI,Y9 2018 (FLA-LX2),Android,Google,34,3.19
MALE,1989,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G532F DS),Android,Google,34,3.23
MALE,1980,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 PRO 2018 (SM-J250F DS),Android,Google,34,3.52
MALE,1960,ACTIVE,Prepaid,SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS,34,3.58
MALE,1962,ACTIVE,Prepaid,XIAOMI,REDMI 4X,Android,Google,34,3.60
FEMALE,1987,ACTIVE,Prepaid,WALTON,PRIMO GH6,Android,Google,34,3.76
MALE,1989,ACTIVE,Prepaid,SYMPHONY,"D26, W128, W71I, W70Q",Proprietary OS,Proprietary OS,34,3.82
MALE,1989,SUSPEND,Prepaid,HUAWEI,Y3II (LUA-U22),Android,Google,34,3.86
MALE,1989,ACTIVE,Prepaid,NOKIA,108 DUAL SIM (RM-944),Series30,Symbian,34,4.09
MALE,1979,ACTIVE,Prepaid,WALTON,PRIMO G7 PLUS,Android,Google,34,4.16
MALE,1963,ACTIVE,Prepaid,KINGSTAR,"KS-C25,KS-C35,KS-C45,KS-C50,KS-C55",Proprietary OS,Proprietary OS,34,4.18
MALE,1989,ACTIVE,Prepaid,HUAWEI,Y5II (CUN-L03),Android,Google,34,4.24
MALE,1980,ACTIVE,Prepaid,HUAWEI,HONOR 8 LITE,Android,Google,34,4.25
MALE,1962,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND PRIME DUOS (SM-G530H DS),Android,Google,34,4.26
MALE,1987,ACTIVE,Prepaid,NOKIA,105 DUAL SIM (RM-1133),Symbian OS,Symbian,34,4.30
